name,booth
McCue Engineering Contractors,1040
McDowell B. Equipment,503
McElhanney Ltd.,625
Me Too Mining Association,6428N
Medusa Radiometrics BV,446
Megadome Buildings,613
Meglab,6413N
Mercator Geological Services Limited,440
Methapharm Inc.,6406N
Metso,7530N
Mexico Pavilion,1215
"M-I SWACO, A Schlumberger Co.",1302
MICROMINE,603
Minalyze AB,853
Mincon Group PLC,913
MineAfrica Inc.,923
MineHutte,1228
Mineral Exploration Cooperative Research Centre,311
Mineral Resources Tasmania (Australia Minerals),315
Mineral Technologies,249
Minerals Commission Ghana,1451
Minerva Intelligence Inc.,601
Minewise Technology,6523N
Mining and Process Solutions Pty Ltd.,1240
Mining Finland,6310N
Mining Footprint Ltd.,7406N
Mining Industry Human Resources Council (MiHR),6508N
Mining Suppliers Trade Association (MSTA Canada),919
Minnesota Department of Natural Resources,1043
Mira Geoscience Ltd.,814
MMD Mineral Sizing Canada Inc.,6229N
"Mongolia, Government of",6829N
Montt Group SpA,1123
More Core Diamond Drilling Services Ltd.,7412N
Moroccan National Office of Hydrocarbons and Mines (ONHYM),126
Mount Sopris Instruments,1417
MPX Geophysics Ltd.,805
MS Analytical,1006
Mud Bay Drilling,1332
Multi-Power Products Ltd.,1151
Namibia Geological Survey,712
National Compressed Air Canada Ltd.,518
Natural History Museum Consulting,338
Network Innovations Inc.,109
Nevada,7017N
New Brunswick Department of Natural Resources and Energy Development,136
New Brunswick Prospectors & Developers Association,138
New Resolution Geophysics,1108
New Zealand Government,904
Newfoundland and Labrador: Explore the opportunities,149
New-Sense Geophysics Limited,212
Newterra Ltd.,1443
Nolinor Aviation,6506N
Nordmin Group of Companies,6823N
Norseman Structures,111
"Northern Ireland, Department for the Economy",907
Northern Light Technologies,6435N
Northern Mat & Bridge,6419N
"Northern Miner Group, The",810
Northern Ontario Mining Showcase,6501N
Northern Territory Geological Survey (Australia Minerals),414
Northspan Explorations Ltd.,6405N
Northwest Drills,651
Northwest Territories & Nunavut Chamber of Mines,1008
"Northwest Territories, Government of",1107
"Norway, Geological Survey of",815
Nova Scotia Department of Energy and Mines,145
Nova Scotia Prospectors Association,137
NSS Canada,513
NTT CORESAW,1113
Nuna Logistics Partnership,1115
Nunatsiavut Government,7524N
Nunavut Tunngavik Incorporated,1114
"Nunavut, Government of",1016
Nuvia Dynamics,1037
Objectivity,1053
Olympus,914
"Ontario Ministry of Energy, Northern Development and Mines",637
Opportunities New Brunswick,7411N
OREAS,404
Orix Geoscience Inc.,353
Outotec,803
Overburden Drilling Management Limited,910
Pacific Geomatics Ltd.,614
"Paterson, Grant & Watson Limited",522
PDAC Partnered Insurance Program,340
Peru,1423
Petro-Canada Fuels,6223N
Phoenix Geophysics Limited,211
PhotoSat Information Ltd.,510
PHQGlobal,1231
Pilot Diamond Tools,7030N
Pioneer Aerial Surveys Inc.,118
Piteau Associates Engineering Ltd.,523
PLS Insoles Inc.,6423N
Poly-Mor Canada Inc,7026N
PowerTraxx Vehicles Inc.,1127
Pozitif Drilling Canada Ltd.,1250
Precision GeoSurveys Inc.,6822N
Priority Drilling Ltd.,1149
Professional Geoscientists Ontario (PGO),851
Prolenc Mfg Inc,6628N
Promer Consultancy Engineering Inc.,1202
Promine,606
PumpEng,7314N
"Qingdao Fambition Heavy Machinery Co.,Ltd",7430N
Quantec Geoscience,1323
Quarry and Mining Equipment Ltd.,938
"Québec, Gouvernement",222
"Québec, Gouvernement",223
"Queen's University, Department of Geology",1046
Queensland Government (Australia Minerals),319
R.T. Boyd Limited,617
Radiation Solutions Inc.,808
RBL-REI,943
RDH Mining Equipment,437
"Red Lake, Municipality of",752
Reflex Instruments N.A.,327
Risk Assistance Group,7318N
RMS Instruments,208
RNP MEXICO,6300N
Roadpost,343
"Robertson Geologging USA, Inc.",1210
"ROCKMORE International, Inc.",6516N
ROCK-TECH,1036
Romquest Technologies,1012
Roscoe Postle Associates Inc.,316
RPC,431
RPMGlobal Canada Ltd.,708
Russian Federation - Rosnedra,1031
"Russian Stone, The",509
RWDI,502
S&P Global Market Intelligence,115
SafeBox,7415N
SafeSight Exploration Inc.,6203N
Sander Geophysics,131
Sandvik Mining,829
Saskatchewan Trade and Export Partnership,6303N
"Saskatchewan, Government of",531
SAXUM Engineered Solutions,6826N
"Schramm, Inc.",322
Schulich Executive Education Centre (SEEC),7310N
"SciAps, Inc.",7311N
Scintrex,1001
Scott Hogg & Associates Ltd.,722
Scott Steel Erectors Inc.,6334N
Scott Technology Ltd.,7213N
SCR Mining and Tunnelling L.P.,7031N
Seequent,350
Seequent,931
SEI Industries Ltd.,807
Semm Logging,1409
"Sepor, Inc.",1010
Sepro Systems,1222
SGS,102
Sherritt International Corporation,948
Sherritt International Corporation,2312
Sigfusson Northern Ltd.,6923N
Silicon Sensing Systems,7516N
Simcoe Geoscience Limited,616
SimWell,7306N
Sirius Wilderness Medicine Inc.,429
Sisprobe,217
Sixth Wave Innovations Inc.,7423N
Skycatch Inc.,7425N
Skyline Assayers & Laboratories,839
SkyTEM Canada Inc.,911
Small Modular Reactors & Mining,7029N
"SmithCo Mfg, Inc",6103N
SNF Canada,6202N
"Society for Mining, Metallurgy & Exploration (SME) Inc.",218
Society of Economic Geologists,718
Society of Exploration Geophysicists (SEG),7418N
SODERN,627
SolidCAD,7217N
Son-Mak,6726N
"South Africa, Department of Mineral Resources",1343
"South Australia, Government of (Australia Minerals)",416
Southern Geoscience Consultants Pty Ltd,7518N
Southern Mapping Company,341
"SpecTIR, LLC",1017
Spectral Evolution,1411
Spektra Drilling,1015
SPI Health and Safety,6430N
SRK Consulting Canada Inc.,113
Stantec,609
STAR Alliance,6828N
Star Trace Private Ltd.,6731N
Stebbins Engineering,7431N
Stockholm Precision Tools AB,6422N
Story Environmental Inc.,1133
Stratus Aeronautics Inc.,6235N
Stuart Olson,247
Sudbury (Greater Sudbury),653
Summit Camps,6408N
Summit Helicopters,849
SUNDRIL,6318N
SurveyTECH Instruments,1237
"Sweden, Geological Survey of",405
Swick Drilling North America,1048
Systems for Research Corp.,6623N
Taiga Robotics,6927N
Tanzania High Commission,7312N
Team Drilling LP,1246
Techking Tires Limited,7330N
Technical Translation Services,7512N
Technidrill,1436
Tema Isenmann Inc.,6730N
TerraCore,1324
Terrafix Geosynthetics Inc.,7535N
Terrane Geoscience Inc.,1136
Terraplus Inc.,804
Terraquest Ltd.,114
Tetra Tech,908
TFG Global Insurance Solutions Ltd.,6107N
The Claim Group Inc.,1111
The Ivey Group,7227N
The Thyssen Mining Group of Companies,7319N
The West Coast Fishing Club,345
Thermo Fisher Scientific,504
Thomas O'Neill & Associates Inc.,349
Thor Global Enterprises Ltd.,6924N
ThreeDify Inc.,612
"Thunder Bay, Mining in Northwestern Ontario",946
Tioga Air Heaters,6922N
Titan Environmental Containment,7427N
TransPerfect Translations,623
Tretan Inc.,750
Trimble,243
Trueminer Software Inc.,6429N
TSL Laboratories Inc.,500
Tulloch Engineering,524
U.S. Geological Survey,1009
UL,7207N
Universal Helicopters,1044
Université de Lorraine,1339
University of British Columbia,436
University of Toronto,120
"University of Waterloo, Department of Earth and Environmental Sciences",945
UpDeep Project,6306N
"Valaurum, Inc.",7225N
Vancon Core Saw Inc.,7223N
Varco Pruden Buildings (VP Buildings),704
"VEGA Instruments, Canada Ltd.",7531N
Vektore Exploration Consulting Corporation,452
Veolia Water Technologies,236
Verisk Maplecroft,251
VersaDrill Canada,751
VICTAULIC,301
Voyages Lindberg Inc.,6930N
Wabun Tribal Council,6410N
Wajax,940
"Walden Group, The",1152
"Watts, Griffis and McOuat Limited",901
Weatherhaven,700
West End Radiators,6734N
"Western Australia, Department of Mines, Industry Regulation and Safety (Australia Minerals)",418
Westpro Machinery Inc.,6634N
White & Case LLP,7416N
Wink Vibracore Drill Company Ltd.,1139
Wireline Services Group,307
Wood,1100
Workplace Safety North,6929N
WSP Canada Inc.,1216
Xcalibur Airborne Geophysics,450
Xploration Services Greenland A/S,6317N
XPS,615
Yesti Insaat ve Tic. Ltd. Sti.,6230N
Yukon Chamber of Mines,427
"Yukon, Government of",528
Zonge International Inc.,1038
